Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
ac-milan-02-03-retro-home,AC Milan 02/03 Retro Home,"<p><strong>AC Milan 02/03 Retro Home</strong></p>
<p>Camiseta retro AC Milan - Temporada 02/03</p>
<p>Tipo: Home</p>
<p>Liga: Serie A</p>
<ul>
<li>Material de alta qualidade</li>
<li>Design clássico retro</li>
<li>Tamanhos disponíveis: S, M, L, XL, XXL, 3XL</li>

</ul>
<p><strong>🔥 BLACK NOVEMBER - 33% OFF!</strong></p>",Retrobox,Serie A,"Serie A, AC Milan, Home, Retro, Jersey, Futebol",TRUE,Size,S,,,,,ac-milan-02-03-retro-home-S,400,,100,deny,manual,36900.00,55350.00,TRUE,TRUE,,,,,FALSE,AC Milan 02/03 Retro Home | Retrobox Argentina,Camiseta retro AC Milan 02/03 Home. Serie A. Design clássico de alta qualidade. 🔥 BLACK NOVEMBER: 33% OFF!,Apparel & Accessories > Clothing > Activewear > Jerseys,Unisex,Adult,,,,New,,Serie A,AC Milan,Home,02/03,,,kg,,,active
ac-milan-02-03-retro-home,,,,,,,,M,,,,,ac-milan-02-03-retro-home-M,400,,100,deny,manual,36900.00,55350.00,TRUE,TRUE,,,,,FALSE,,,Apparel & Accessories > Clothing > Activewear > Jerseys,Unisex,Adult,,,,New,,Serie A,AC Milan,Home,02/03,,,kg,,,active
ac-milan-02-03-retro-home,,,,,,,,L,,,,,ac-milan-02-03-retro-home-L,400,,100,deny,manual,36900.00,55350.00,TRUE,TRUE,,,,,FALSE,,,Apparel & Accessories > Clothing > Activewear > Jerseys,Unisex,Adult,,,,New,,Serie A,AC Milan,Home,02/03,,,kg,,,active
ac-milan-02-03-retro-home,,,,,,,,XL,,,,,ac-milan-02-03-retro-home-XL,400,,100,deny,manual,36900.00,55350.00,TRUE,TRUE,,,,,FALSE,,,Apparel & Accessories > Clothing > Activewear > Jerseys,Unisex,Adult,,,,New,,Serie A,AC Milan,Home,02/03,,,kg,,,active
ac-milan-02-03-retro-home,,,,,,,,XXL,,,,,ac-milan-02-03-retro-home-XXL,400,,100,deny,manual,36900.00,55350.00,TRUE,TRUE,,,,,FALSE,,,Apparel & Accessories > Clothing > Activewear > Jerseys,Unisex,Adult,,,,New,,Serie A,AC Milan,Home,02/03,,,kg,,,active
ac-milan-02-03-retro-home,,,,,,,,3XL,,,,,ac-milan-02-03-retro-home-3XL,400,,100,deny,manual,36900.00,55350.00,TRUE,TRUE,,,,,FALSE,,,Apparel & Accessories > Clothing > Activewear > Jerseys,Unisex,Adult,,,,New,,Serie A,AC Milan,Home,02/03,,,kg,,,active
ac-milan-03-04-retro-home,AC Milan 03/04 Retro Home,"<p><strong>AC Milan 03/04 Retro Home</strong></p>
<p>Camiseta retro AC Milan - Temporada 03/04</p>
<p>Tipo: Home</p>
<p>Liga: Serie A</p>
<ul>
<li>Material de alta qualidade</li>
<li>Design clássico retro</li>
<li>Tamanhos disponíveis: S, M, L, XL, XXL, 3XL</li>

</ul>
<p><strong>🔥 BLACK NOVEMBER - 33% OFF!</strong></p>",Retrobox,Serie A,"Serie A, AC Milan, Home, Retro, Jersey, Futebol",TRUE,Size,S,,,,,ac-milan-03-04-retro-home-S,400,,100,deny,manual,36900.00,55350.00,TRUE,TRUE,,,,,FALSE,AC Milan 03/04 Retro Home | Retrobox Argentina,Camiseta retro AC Milan 03/04 Home. Serie A. Design clássico de alta qualidade. 🔥 BLACK NOVEMBER: 33% OFF!,Apparel & Accessories > Clothing > Activewear > Jerseys,Unisex,Adult,,,,New,,Serie A,AC Milan,Home,03/04,,,kg,,,active
ac-milan-03-04-retro-home,,,,,,,,M,,,,,ac-milan-03-04-retro-home-M,400,,100,deny,manual,36900.00,55350.00,TRUE,TRUE,,,,,FALSE,,,Apparel & Accessories > Clothing > Activewear > Jerseys,Unisex,Adult,,,,New,,Serie A,AC Milan,Home,03/04,,,kg,,,active
ac-milan-03-04-retro-home,,,,,,,,L,,,,,ac-milan-03-04-retro-home-L,400,,100,deny,manual,36900.00,55350.00,TRUE,TRUE,,,,,FALSE,,,Apparel & Accessories > Clothing > Activewear > Jerseys,Unisex,Adult,,,,New,,Serie A,AC Milan,Home,03/04,,,kg,,,active
ac-milan-03-04-retro-home,,,,,,,,XL,,,,,ac-milan-03-04-retro-home-XL,400,,100,deny,manual,36900.00,55350.00,TRUE,TRUE,,,,,FALSE,,,Apparel & Accessories > Clothing > Activewear > Jerseys,Unisex,Adult,,,,New,,Serie A,AC Milan,Home,03/04,,,kg,,,active
ac-milan-03-04-retro-home,,,,,,,,XXL,,,,,ac-milan-03-04-retro-home-XXL,400,,100,deny,manual,36900.00,55350.00,TRUE,TRUE,,,,,FALSE,,,Apparel & Accessories > Clothing > Activewear > Jerseys,Unisex,Adult,,,,New,,Serie A,AC Milan,Home,03/04,,,kg,,,active
ac-milan-03-04-retro-home,,,,,,,,3XL,,,,,ac-milan-03-04-retro-home-3XL,400,,100,deny,manual,36900.00,55350.00,TRUE,TRUE,,,,,FALSE,,,Apparel & Accessories > Clothing > Activewear > Jerseys,Unisex,Adult,,,,New,,Serie A,AC Milan,Home,03/04,,,kg,,,active
ac-milan-04-05-retro-home,AC Milan 04/05 Retro Home,"<p><strong>AC Milan 04/05 Retro Home</strong></p>
<p>Camiseta retro AC Milan - Temporada 04/05</p>
<p>Tipo: Home</p>
<p>Liga: Serie A</p>
<ul>
<li>Material de alta qualidade</li>
<li>Design clássico retro</li>
<li>Tamanhos disponíveis: S, M, L, XL, XXL, 3XL</li>

</ul>
<p><strong>🔥 BLACK NOVEMBER - 33% OFF!</strong></p>",Retrobox,Serie A,"Serie A, AC Milan, Home, Retro, Jersey, Futebol",TRUE,Size,S,,,,,ac-milan-04-05-retro-home-S,400,,100,deny,manual,36900.00,55350.00,TRUE,TRUE,,,,,FALSE,AC Milan 04/05 Retro Home | Retrobox Argentina,Camiseta retro AC Milan 04/05 Home. Serie A. Design clássico de alta qualidade. 🔥 BLACK NOVEMBER: 33% OFF!,Apparel & Accessories > Clothing > Activewear > Jerseys,Unisex,Adult,,,,New,,Serie A,AC Milan,Home,04/05,,,kg,,,active
ac-milan-04-05-retro-home,,,,,,,,M,,,,,ac-milan-04-05-retro-home-M,400,,100,deny,manual,36900.00,55350.00,TRUE,TRUE,,,,,FALSE,,,Apparel & Accessories > Clothing > Activewear > Jerseys,Unisex,Adult,,,,New,,Serie A,AC Milan,Home,04/05,,,kg,,,active
ac-milan-04-05-retro-home,,,,,,,,L,,,,,ac-milan-04-05-retro-home-L,400,,100,deny,manual,36900.00,55350.00,TRUE,TRUE,,,,,FALSE,,,Apparel & Accessories > Clothing > Activewear > Jerseys,Unisex,Adult,,,,New,,Serie A,AC Milan,Home,04/05,,,kg,,,active
ac-milan-04-05-retro-home,,,,,,,,XL,,,,,ac-milan-04-05-retro-home-XL,400,,100,deny,manual,36900.00,55350.00,TRUE,TRUE,,,,,FALSE,,,Apparel & Accessories > Clothing > Activewear > Jerseys,Unisex,Adult,,,,New,,Serie A,AC Milan,Home,04/05,,,kg,,,active
ac-milan-04-05-retro-home,,,,,,,,XXL,,,,,ac-milan-04-05-retro-home-XXL,400,,100,deny,manual,36900.00,55350.00,TRUE,TRUE,,,,,FALSE,,,Apparel & Accessories > Clothing > Activewear > Jerseys,Unisex,Adult,,,,New,,Serie A,AC Milan,Home,04/05,,,kg,,,active
ac-milan-04-05-retro-home,,,,,,,,3XL,,,,,ac-milan-04-05-retro-home-3XL,400,,100,deny,manual,36900.00,55350.00,TRUE,TRUE,,,,,FALSE,,,Apparel & Accessories > Clothing > Activewear > Jerseys,Unisex,Adult,,,,New,,Serie A,AC Milan,Home,04/05,,,kg,,,active
ac-milan-06-07-retro-away,AC Milan 06/07 Retro Away,"<p><strong>AC Milan 06/07 Retro Away</strong></p>
<p>Camiseta retro AC Milan - Temporada 06/07</p>
<p>Tipo: Away</p>
<p>Liga: Serie A</p>
<ul>
<li>Material de alta qualidade</li>
<li>Design clássico retro</li>
<li>Tamanhos disponíveis: S, M, L, XL, XXL, 3XL</li>

</ul>
<p><strong>🔥 BLACK NOVEMBER - 33% OFF!</strong></p>",Retrobox,Serie A,"Serie A, AC Milan, Away, Retro, Jersey, Futebol",TRUE,Size,S,,,,,ac-milan-06-07-retro-away-S,400,,100,deny,manual,36900.00,55350.00,TRUE,TRUE,,,,,FALSE,AC Milan 06/07 Retro Away | Retrobox Argentina,Camiseta retro AC Milan 06/07 Away. Serie A. Design clássico de alta qualidade. 🔥 BLACK NOVEMBER: 33% OFF!,Apparel & Accessories > Clothing > Activewear > Jerseys,Unisex,Adult,,,,New,,Serie A,AC Milan,Away,06/07,,,kg,,,active
ac-milan-06-07-retro-away,,,,,,,,M,,,,,ac-milan-06-07-retro-away-M,400,,100,deny,manual,36900.00,55350.00,TRUE,TRUE,,,,,FALSE,,,Apparel & Accessories > Clothing > Activewear > Jerseys,Unisex,Adult,,,,New,,Serie A,AC Milan,Away,06/07,,,kg,,,active
ac-milan-06-07-retro-away,,,,,,,,L,,,,,ac-milan-06-07-retro-away-L,400,,100,deny,manual,36900.00,55350.00,TRUE,TRUE,,,,,FALSE,,,Apparel & Accessories > Clothing > Activewear > Jerseys,Unisex,Adult,,,,New,,Serie A,AC Milan,Away,06/07,,,kg,,,active
ac-milan-06-07-retro-away,,,,,,,,XL,,,,,ac-milan-06-07-retro-away-XL,400,,100,deny,manual,36900.00,55350.00,TRUE,TRUE,,,,,FALSE,,,Apparel & Accessories > Clothing > Activewear > Jerseys,Unisex,Adult,,,,New,,Serie A,AC Milan,Away,06/07,,,kg,,,active
ac-milan-06-07-retro-away,,,,,,,,XXL,,,,,ac-milan-06-07-retro-away-XXL,400,,100,deny,manual,36900.00,55350.00,TRUE,TRUE,,,,,FALSE,,,Apparel & Accessories > Clothing > Activewear > Jerseys,Unisex,Adult,,,,New,,Serie A,AC Milan,Away,06/07,,,kg,,,active
ac-milan-06-07-retro-away,,,,,,,,3XL,,,,,ac-milan-06-07-retro-away-3XL,400,,100,deny,manual,36900.00,55350.00,TRUE,TRUE,,,,,FALSE,,,Apparel & Accessories > Clothing > Activewear > Jerseys,Unisex,Adult,,,,New,,Serie A,AC Milan,Away,06/07,,,kg,,,active
ac-milan-06-07-retro-away-long-sleeve,AC Milan 06/07 Retro Away Long Sleeve,"<p><strong>AC Milan 06/07 Retro Away Long Sleeve</strong></p>
<p>Camiseta retro AC Milan - Temporada 06/07</p>
<p>Tipo: Away</p>
<p>Liga: Serie A</p>
<ul>
<li>Material de alta qualidade</li>
<li>Design clássico retro</li>
<li>Tamanhos disponíveis: S, M, L, XL, XXL, 3XL</li>
<li>Manga longa</li>
</ul>
<p><strong>🔥 BLACK NOVEMBER - 33% OFF!</strong></p>",Retrobox,Serie A,"Serie A, AC Milan, Away, Retro, Jersey, Futebol",TRUE,Size,S,,,,,ac-milan-06-07-retro-away-long-sleeve-S,400,,100,deny,manual,41900.00,62850.00,TRUE,TRUE,,,,,FALSE,AC Milan 06/07 Retro Away Long Sleeve | Retrobox Argentina,Camiseta retro AC Milan 06/07 Away. Serie A. Design clássico de alta qualidade. 🔥 BLACK NOVEMBER: 33% OFF!,Apparel & Accessories > Clothing > Activewear > Jerseys,Unisex,Adult,,,,New,,Serie A,AC Milan,Away,06/07,,,kg,,,active
ac-milan-06-07-retro-away-long-sleeve,,,,,,,,M,,,,,ac-milan-06-07-retro-away-long-sleeve-M,400,,100,deny,manual,41900.00,62850.00,TRUE,TRUE,,,,,FALSE,,,Apparel & Accessories > Clothing > Activewear > Jerseys,Unisex,Adult,,,,New,,Serie A,AC Milan,Away,06/07,,,kg,,,active
ac-milan-06-07-retro-away-long-sleeve,,,,,,,,L,,,,,ac-milan-06-07-retro-away-long-sleeve-L,400,,100,deny,manual,41900.00,62850.00,TRUE,TRUE,,,,,FALSE,,,Apparel & Accessories > Clothing > Activewear > Jerseys,Unisex,Adult,,,,New,,Serie A,AC Milan,Away,06/07,,,kg,,,active
ac-milan-06-07-retro-away-long-sleeve,,,,,,,,XL,,,,,ac-milan-06-07-retro-away-long-sleeve-XL,400,,100,deny,manual,41900.00,62850.00,TRUE,TRUE,,,,,FALSE,,,Apparel & Accessories > Clothing > Activewear > Jerseys,Unisex,Adult,,,,New,,Serie A,AC Milan,Away,06/07,,,kg,,,active
ac-milan-06-07-retro-away-long-sleeve,,,,,,,,XXL,,,,,ac-milan-06-07-retro-away-long-sleeve-XXL,400,,100,deny,manual,41900.00,62850.00,TRUE,TRUE,,,,,FALSE,,,Apparel & Accessories > Clothing > Activewear > Jerseys,Unisex,Adult,,,,New,,Serie A,AC Milan,Away,06/07,,,kg,,,active
ac-milan-06-07-retro-away-long-sleeve,,,,,,,,3XL,,,,,ac-milan-06-07-retro-away-long-sleeve-3XL,400,,100,deny,manual,41900.00,62850.00,TRUE,TRUE,,,,,FALSE,,,Apparel & Accessories > Clothing > Activewear > Jerseys,Unisex,Adult,,,,New,,Serie A,AC Milan,Away,06/07,,,kg,,,active
ac-milan-06-07-retro-home,AC Milan 06/07 Retro Home,"<p><strong>AC Milan 06/07 Retro Home</strong></p>
<p>Camiseta retro AC Milan - Temporada 06/07</p>
<p>Tipo: Home</p>
<p>Liga: Serie A</p>
<ul>
<li>Material de alta qualidade</li>
<li>Design clássico retro</li>
<li>Tamanhos disponíveis: S, M, L, XL, XXL, 3XL</li>

</ul>
<p><strong>🔥 BLACK NOVEMBER - 33% OFF!</strong></p>",Retrobox,Serie A,"Serie A, AC Milan, Home, Retro, Jersey, Futebol",TRUE,Size,S,,,,,ac-milan-06-07-retro-home-S,400,,100,deny,manual,36900.00,55350.00,TRUE,TRUE,,,,,FALSE,AC Milan 06/07 Retro Home | Retrobox Argentina,Camiseta retro AC Milan 06/07 Home. Serie A. Design clássico de alta qualidade. 🔥 BLACK NOVEMBER: 33% OFF!,Apparel & Accessories > Clothing > Activewear > Jerseys,Unisex,Adult,,,,New,,Serie A,AC Milan,Home,06/07,,,kg,,,active
ac-milan-06-07-retro-home,,,,,,,,M,,,,,ac-milan-06-07-retro-home-M,400,,100,deny,manual,36900.00,55350.00,TRUE,TRUE,,,,,FALSE,,,Apparel & Accessories > Clothing > Activewear > Jerseys,Unisex,Adult,,,,New,,Serie A,AC Milan,Home,06/07,,,kg,,,active
ac-milan-06-07-retro-home,,,,,,,,L,,,,,ac-milan-06-07-retro-home-L,400,,100,deny,manual,36900.00,55350.00,TRUE,TRUE,,,,,FALSE,,,Apparel & Accessories > Clothing > Activewear > Jerseys,Unisex,Adult,,,,New,,Serie A,AC Milan,Home,06/07,,,kg,,,active
ac-milan-06-07-retro-home,,,,,,,,XL,,,,,ac-milan-06-07-retro-home-XL,400,,100,deny,manual,36900.00,55350.00,TRUE,TRUE,,,,,FALSE,,,Apparel & Accessories > Clothing > Activewear > Jerseys,Unisex,Adult,,,,New,,Serie A,AC Milan,Home,06/07,,,kg,,,active
ac-milan-06-07-retro-home,,,,,,,,XXL,,,,,ac-milan-06-07-retro-home-XXL,400,,100,deny,manual,36900.00,55350.00,TRUE,TRUE,,,,,FALSE,,,Apparel & Accessories > Clothing > Activewear > Jerseys,Unisex,Adult,,,,New,,Serie A,AC Milan,Home,06/07,,,kg,,,active
ac-milan-06-07-retro-home,,,,,,,,3XL,,,,,ac-milan-06-07-retro-home-3XL,400,,100,deny,manual,36900.00,55350.00,TRUE,TRUE,,,,,FALSE,,,Apparel & Accessories > Clothing > Activewear > Jerseys,Unisex,Adult,,,,New,,Serie A,AC Milan,Home,06/07,,,kg,,,active
ac-milan-06-07-retro-third,AC Milan 06/07 Retro Third,"<p><strong>AC Milan 06/07 Retro Third</strong></p>
<p>Camiseta retro AC Milan - Temporada 06/07</p>
<p>Tipo: Third</p>
<p>Liga: Serie A</p>
<ul>
<li>Material de alta qualidade</li>
<li>Design clássico retro</li>
<li>Tamanhos disponíveis: S, M, L, XL, XXL, 3XL</li>

</ul>
<p><strong>🔥 BLACK NOVEMBER - 33% OFF!</strong></p>",Retrobox,Serie A,"Serie A, AC Milan, Third, Retro, Jersey, Futebol",TRUE,Size,S,,,,,ac-milan-06-07-retro-third-S,400,,100,deny,manual,36900.00,55350.00,TRUE,TRUE,,,,,FALSE,AC Milan 06/07 Retro Third | Retrobox Argentina,Camiseta retro AC Milan 06/07 Third. Serie A. Design clássico de alta qualidade. 🔥 BLACK NOVEMBER: 33% OFF!,Apparel & Accessories > Clothing > Activewear > Jerseys,Unisex,Adult,,,,New,,Serie A,AC Milan,Third,06/07,,,kg,,,active
ac-milan-06-07-retro-third,,,,,,,,M,,,,,ac-milan-06-07-retro-third-M,400,,100,deny,manual,36900.00,55350.00,TRUE,TRUE,,,,,FALSE,,,Apparel & Accessories > Clothing > Activewear > Jerseys,Unisex,Adult,,,,New,,Serie A,AC Milan,Third,06/07,,,kg,,,active
ac-milan-06-07-retro-third,,,,,,,,L,,,,,ac-milan-06-07-retro-third-L,400,,100,deny,manual,36900.00,55350.00,TRUE,TRUE,,,,,FALSE,,,Apparel & Accessories > Clothing > Activewear > Jerseys,Unisex,Adult,,,,New,,Serie A,AC Milan,Third,06/07,,,kg,,,active
ac-milan-06-07-retro-third,,,,,,,,XL,,,,,ac-milan-06-07-retro-third-XL,400,,100,deny,manual,36900.00,55350.00,TRUE,TRUE,,,,,FALSE,,,Apparel & Accessories > Clothing > Activewear > Jerseys,Unisex,Adult,,,,New,,Serie A,AC Milan,Third,06/07,,,kg,,,active
ac-milan-06-07-retro-third,,,,,,,,XXL,,,,,ac-milan-06-07-retro-third-XXL,400,,100,deny,manual,36900.00,55350.00,TRUE,TRUE,,,,,FALSE,,,Apparel & Accessories > Clothing > Activewear > Jerseys,Unisex,Adult,,,,New,,Serie A,AC Milan,Third,06/07,,,kg,,,active
ac-milan-06-07-retro-third,,,,,,,,3XL,,,,,ac-milan-06-07-retro-third-3XL,400,,100,deny,manual,36900.00,55350.00,TRUE,TRUE,,,,,FALSE,,,Apparel & Accessories > Clothing > Activewear > Jerseys,Unisex,Adult,,,,New,,Serie A,AC Milan,Third,06/07,,,kg,,,active
ac-milan-07-08-retro-away,AC Milan 07/08 Retro Away,"<p><strong>AC Milan 07/08 Retro Away</strong></p>
<p>Camiseta retro AC Milan - Temporada 07/08</p>
<p>Tipo: Away</p>
<p>Liga: Serie A</p>
<ul>
<li>Material de alta qualidade</li>
<li>Design clássico retro</li>
<li>Tamanhos disponíveis: S, M, L, XL, XXL, 3XL</li>

</ul>
<p><strong>🔥 BLACK NOVEMBER - 33% OFF!</strong></p>",Retrobox,Serie A,"Serie A, AC Milan, Away, Retro, Jersey, Futebol",TRUE,Size,S,,,,,ac-milan-07-08-retro-away-S,400,,100,deny,manual,36900.00,55350.00,TRUE,TRUE,,,,,FALSE,AC Milan 07/08 Retro Away | Retrobox Argentina,Camiseta retro AC Milan 07/08 Away. Serie A. Design clássico de alta qualidade. 🔥 BLACK NOVEMBER: 33% OFF!,Apparel & Accessories > Clothing > Activewear > Jerseys,Unisex,Adult,,,,New,,Serie A,AC Milan,Away,07/08,,,kg,,,active
ac-milan-07-08-retro-away,,,,,,,,M,,,,,ac-milan-07-08-retro-away-M,400,,100,deny,manual,36900.00,55350.00,TRUE,TRUE,,,,,FALSE,,,Apparel & Accessories > Clothing > Activewear > Jerseys,Unisex,Adult,,,,New,,Serie A,AC Milan,Away,07/08,,,kg,,,active
ac-milan-07-08-retro-away,,,,,,,,L,,,,,ac-milan-07-08-retro-away-L,400,,100,deny,manual,36900.00,55350.00,TRUE,TRUE,,,,,FALSE,,,Apparel & Accessories > Clothing > Activewear > Jerseys,Unisex,Adult,,,,New,,Serie A,AC Milan,Away,07/08,,,kg,,,active
ac-milan-07-08-retro-away,,,,,,,,XL,,,,,ac-milan-07-08-retro-away-XL,400,,100,deny,manual,36900.00,55350.00,TRUE,TRUE,,,,,FALSE,,,Apparel & Accessories > Clothing > Activewear > Jerseys,Unisex,Adult,,,,New,,Serie A,AC Milan,Away,07/08,,,kg,,,active
ac-milan-07-08-retro-away,,,,,,,,XXL,,,,,ac-milan-07-08-retro-away-XXL,400,,100,deny,manual,36900.00,55350.00,TRUE,TRUE,,,,,FALSE,,,Apparel & Accessories > Clothing > Activewear > Jerseys,Unisex,Adult,,,,New,,Serie A,AC Milan,Away,07/08,,,kg,,,active
ac-milan-07-08-retro-away,,,,,,,,3XL,,,,,ac-milan-07-08-retro-away-3XL,400,,100,deny,manual,36900.00,55350.00,TRUE,TRUE,,,,,FALSE,,,Apparel & Accessories > Clothing > Activewear > Jerseys,Unisex,Adult,,,,New,,Serie A,AC Milan,Away,07/08,,,kg,,,active
ac-milan-07-08-retro-away,AC Milan 07/08 Retro Away,"<p><strong>AC Milan 07/08 Retro Away</strong></p>
<p>Camiseta retro AC Milan - Temporada 07/08</p>
<p>Tipo: Away</p>
<p>Liga: Serie A</p>
<ul>
<li>Material de alta qualidade</li>
<li>Design clássico retro</li>
<li>Tamanhos disponíveis: S, M, L, XL, XXL, 3XL</li>

</ul>
<p><strong>🔥 BLACK NOVEMBER - 33% OFF!</strong></p>",Retrobox,Serie A,"Serie A, AC Milan, Away, Retro, Jersey, Futebol",TRUE,Size,S,,,,,ac-milan-07-08-retro-away-S,400,,100,deny,manual,36900.00,55350.00,TRUE,TRUE,,,,,FALSE,AC Milan 07/08 Retro Away | Retrobox Argentina,Camiseta retro AC Milan 07/08 Away. Serie A. Design clássico de alta qualidade. 🔥 BLACK NOVEMBER: 33% OFF!,Apparel & Accessories > Clothing > Activewear > Jerseys,Unisex,Adult,,,,New,,Serie A,AC Milan,Away,07/08,,,kg,,,active
ac-milan-07-08-retro-away,,,,,,,,M,,,,,ac-milan-07-08-retro-away-M,400,,100,deny,manual,36900.00,55350.00,TRUE,TRUE,,,,,FALSE,,,Apparel & Accessories > Clothing > Activewear > Jerseys,Unisex,Adult,,,,New,,Serie A,AC Milan,Away,07/08,,,kg,,,active
ac-milan-07-08-retro-away,,,,,,,,L,,,,,ac-milan-07-08-retro-away-L,400,,100,deny,manual,36900.00,55350.00,TRUE,TRUE,,,,,FALSE,,,Apparel & Accessories > Clothing > Activewear > Jerseys,Unisex,Adult,,,,New,,Serie A,AC Milan,Away,07/08,,,kg,,,active
ac-milan-07-08-retro-away,,,,,,,,XL,,,,,ac-milan-07-08-retro-away-XL,400,,100,deny,manual,36900.00,55350.00,TRUE,TRUE,,,,,FALSE,,,Apparel & Accessories > Clothing > Activewear > Jerseys,Unisex,Adult,,,,New,,Serie A,AC Milan,Away,07/08,,,kg,,,active
ac-milan-07-08-retro-away,,,,,,,,XXL,,,,,ac-milan-07-08-retro-away-XXL,400,,100,deny,manual,36900.00,55350.00,TRUE,TRUE,,,,,FALSE,,,Apparel & Accessories > Clothing > Activewear > Jerseys,Unisex,Adult,,,,New,,Serie A,AC Milan,Away,07/08,,,kg,,,active
ac-milan-07-08-retro-away,,,,,,,,3XL,,,,,ac-milan-07-08-retro-away-3XL,400,,100,deny,manual,36900.00,55350.00,TRUE,TRUE,,,,,FALSE,,,Apparel & Accessories > Clothing > Activewear > Jerseys,Unisex,Adult,,,,New,,Serie A,AC Milan,Away,07/08,,,kg,,,active
ac-milan-07-08-retro-home,AC Milan 07/08 Retro Home,"<p><strong>AC Milan 07/08 Retro Home</strong></p>
<p>Camiseta retro AC Milan - Temporada 07/08</p>
<p>Tipo: Home</p>
<p>Liga: Serie A</p>
<ul>
<li>Material de alta qualidade</li>
<li>Design clássico retro</li>
<li>Tamanhos disponíveis: S, M, L, XL, XXL, 3XL</li>

</ul>
<p><strong>🔥 BLACK NOVEMBER - 33% OFF!</strong></p>",Retrobox,Serie A,"Serie A, AC Milan, Home, Retro, Jersey, Futebol",TRUE,Size,S,,,,,ac-milan-07-08-retro-home-S,400,,100,deny,manual,36900.00,55350.00,TRUE,TRUE,,,,,FALSE,AC Milan 07/08 Retro Home | Retrobox Argentina,Camiseta retro AC Milan 07/08 Home. Serie A. Design clássico de alta qualidade. 🔥 BLACK NOVEMBER: 33% OFF!,Apparel & Accessories > Clothing > Activewear > Jerseys,Unisex,Adult,,,,New,,Serie A,AC Milan,Home,07/08,,,kg,,,active
ac-milan-07-08-retro-home,,,,,,,,M,,,,,ac-milan-07-08-retro-home-M,400,,100,deny,manual,36900.00,55350.00,TRUE,TRUE,,,,,FALSE,,,Apparel & Accessories > Clothing > Activewear > Jerseys,Unisex,Adult,,,,New,,Serie A,AC Milan,Home,07/08,,,kg,,,active
ac-milan-07-08-retro-home,,,,,,,,L,,,,,ac-milan-07-08-retro-home-L,400,,100,deny,manual,36900.00,55350.00,TRUE,TRUE,,,,,FALSE,,,Apparel & Accessories > Clothing > Activewear > Jerseys,Unisex,Adult,,,,New,,Serie A,AC Milan,Home,07/08,,,kg,,,active
ac-milan-07-08-retro-home,,,,,,,,XL,,,,,ac-milan-07-08-retro-home-XL,400,,100,deny,manual,36900.00,55350.00,TRUE,TRUE,,,,,FALSE,,,Apparel & Accessories > Clothing > Activewear > Jerseys,Unisex,Adult,,,,New,,Serie A,AC Milan,Home,07/08,,,kg,,,active
ac-milan-07-08-retro-home,,,,,,,,XXL,,,,,ac-milan-07-08-retro-home-XXL,400,,100,deny,manual,36900.00,55350.00,TRUE,TRUE,,,,,FALSE,,,Apparel & Accessories > Clothing > Activewear > Jerseys,Unisex,Adult,,,,New,,Serie A,AC Milan,Home,07/08,,,kg,,,active
ac-milan-07-08-retro-home,,,,,,,,3XL,,,,,ac-milan-07-08-retro-home-3XL,400,,100,deny,manual,36900.00,55350.00,TRUE,TRUE,,,,,FALSE,,,Apparel & Accessories > Clothing > Activewear > Jerseys,Unisex,Adult,,,,New,,Serie A,AC Milan,Home,07/08,,,kg,,,active
ac-milan-07-08-retro-home-long-sleeve,AC Milan 07/08 Retro Home Long Sleeve,"<p><strong>AC Milan 07/08 Retro Home Long Sleeve</strong></p>
<p>Camiseta retro AC Milan - Temporada 07/08</p>
<p>Tipo: Home</p>
<p>Liga: Serie A</p>
<ul>
<li>Material de alta qualidade</li>
<li>Design clássico retro</li>
<li>Tamanhos disponíveis: S, M, L, XL, XXL, 3XL</li>
<li>Manga longa</li>
</ul>
<p><strong>🔥 BLACK NOVEMBER - 33% OFF!</strong></p>",Retrobox,Serie A,"Serie A, AC Milan, Home, Retro, Jersey, Futebol",TRUE,Size,S,,,,,ac-milan-07-08-retro-home-long-sleeve-S,400,,100,deny,manual,41900.00,62850.00,TRUE,TRUE,,,,,FALSE,AC Milan 07/08 Retro Home Long Sleeve | Retrobox Argentina,Camiseta retro AC Milan 07/08 Home. Serie A. Design clássico de alta qualidade. 🔥 BLACK NOVEMBER: 33% OFF!,Apparel & Accessories > Clothing > Activewear > Jerseys,Unisex,Adult,,,,New,,Serie A,AC Milan,Home,07/08,,,kg,,,active
